time	V(vout)
4.998205994849551e-03	9.861071e-02
5.000000000000000e-03	9.861071e-02
Step Information: Run=124  (Step: 124/1000)
0.000000000000000e+00	9.346706e-02
4.885901307349554e-03	9.346706e-02
4.998205994849551e-03	9.346706e-02
5.000000000000000e-03	9.346706e-02
Step Information: Run=125  (Step: 125/1000)
0.000000000000000e+00	7.942186e-02
4.885901307349554e-03	7.942186e-02
4.998205994849551e-03	7.942186e-02
5.000000000000000e-03	7.942186e-02
Step Information: Run=126  (Step: 126/1000)
0.000000000000000e+00	9.886237e-02
4.885901307349554e-03	9.886237e-02
4.998205994849551e-03	9.886237e-02
5.000000000000000e-03	9.886237e-02
Step Information: Run=127  (Step: 127/1000)
0.000000000000000e+00	8.765465e-02
4.885901307349554e-03	8.765465e-02
4.998205994849551e-03	8.765465e-02
5.000000000000000e-03	8.765465e-02
Step Information: Run=128  (Step: 128/1000)
0.000000000000000e+00	1.081903e-01
4.885901307349554e-03	1.081903e-01
4.998205994849551e-03	1.081903e-01
5.000000000000000e-03	1.081903e-01
Step Information: Run=129  (Step: 129/1000)
0.000000000000000e+00	1.147922e-01
4.885901307349554e-03	1.147922e-01
4.998205994849551e-03	1.147922e-01
5.000000000000000e-03	1.147922e-01
Step Information: Run=130  (Step: 130/1000)
0.000000000000000e+00	1.128866e-01
4.885901307349554e-03	1.128866e-01
4.998205994849551e-03	1.128866e-01
5.000000000000000e-03	1.128866e-01
Step Information: Run=131  (Step: 131/1000)
0.000000000000000e+00	1.111604e-01
4.885901307349554e-03	1.111604e-01
4.998205994849551e-03	1.111604e-01
5.000000000000000e-03	1.111604e-01
Step Information: Run=132  (Step: 132/1000)
0.000000000000000e+00	1.064616e-01
4.885901307349554e-03	1.064616e-01
4.998205994849551e-03	1.064616e-01
5.000000000000000e-03	1.064616e-01
Step Information: Run=133  (Step: 133/1000)
0.000000000000000e+00	1.077430e-01
4.885901307349554e-03	1.077430e-01
4.998205994849551e-03	1.077430e-01
5.000000000000000e-03	1.077430e-01
Step Information: Run=134  (Step: 134/1000)
0.000000000000000e+00	9.084646e-02
4.885901307349554e-03	9.084646e-02
4.998205994849551e-03	9.084646e-02
5.000000000000000e-03	9.084646e-02
Step Information: Run=135  (Step: 135/1000)
0.000000000000000e+00	8.270303e-02
4.885901307349554e-03	8.270303e-02
4.998205994849551e-03	8.270303e-02
5.000000000000000e-03	8.270303e-02
Step Information: Run=136  (Step: 136/1000)
0.000000000000000e+00	1.030331e-01
4.885901307349554e-03	1.030331e-01
4.998205994849551e-03	1.030331e-01
5.000000000000000e-03	1.030331e-01
Step Information: Run=137  (Step: 137/1000)
0.000000000000000e+00	1.071690e-01
4.885901307349554e-03	1.071690e-01
4.998205994849551e-03	1.071690e-01
5.000000000000000e-03	1.071690e-01
Step Information: Run=138  (Step: 138/1000)
0.000000000000000e+00	9.933492e-02
4.885901307349554e-03	9.933492e-02
4.998205994849551e-03	9.933492e-02
